	lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S	freqLexeme
0	abaisser			1.0			5.0	3.0	69.0	3.0	4.0	8.0	30.0	1.0	4.0	2.0	3.0	3.0	6.0	510.0							15.0	209.0	155.0	25.0		31.0	7.0	11.0	1.0	28.0	7.0	56.0	21.0	49.0	36.0	172.0	9.0	40.0	17.0	122.0							1663.0
1	abandonner	1.0	11.0	1.0	2.0	38.0	133.0	120.0	1165.0	75.0	135.0	164.0	578.0	31.0	99.0	92.0	34.0	37.0	187.0	11991.0							92.0	1304.0	1865.0	336.0	7.0	268.0	70.0	134.0	38.0	236.0	193.0	2674.0	755.0	1614.0	661.0	3484.0	604.0	2533.0	1127.0	9855.0		5.0		14.0	1.0	8.0	42772.0
2	abasourdir								2.0											6.0								1.0												1.0		4.0	2.0	47.0	30.0	155.0		1.0					249.0
3	abattre				1.0	19.0	54.0	43.0	96.0	22.0	5.0	99.0	219.0	6.0	10.0	23.0	5.0	28.0	52.0	4045.0						1.0	31.0	533.0	127.0	74.0		34.0	4.0	4.0	20.0	54.0	12.0	189.0	75.0	54.0	188.0	582.0	76.0	541.0	612.0	3702.0		36.0		14.0	1.0	166.0	11857.0
4	abcéder																																												1.0	1.0							2.0
5	abdiquer						4.0	1.0	5.0	2.0		1.0	6.0	1.0		1.0		1.0	1.0	100.0							2.0	13.0	16.0	3.0		1.0					1.0	12.0	8.0	7.0	1.0	36.0			1.0	45.0							269.0
6	aberrer																													8.0																3.0							11.0
7	abhorrer														1.0	1.0		1.0	4.0	4.0							1.0	1.0	1.0	2.0							2.0	53.0	4.0	4.0	8.0	28.0				9.0							124.0
8	abjurer								3.0		1.0		4.0		1.0					29.0								5.0	9.0	1.0				1.0				17.0	6.0	4.0		8.0	1.0	1.0		13.0							104.0
9	abolir						1.0	2.0	3.0	1.0	3.0	3.0	6.0	1.0					1.0	212.0							10.0	9.0		9.0		3.0	4.0		1.0	1.0	4.0	3.0	3.0	1.0	4.0	25.0	12.0	65.0	10.0	138.0				1.0		4.0	540.0
10	abominer								1.0																													3.0				1.0											5.0
11	abonder						2.0								1.0			16.0	11.0	14.0										13.0					1.0			11.0	1.0	1.0	96.0	65.0				5.0							237.0
12	abonner						1.0		1.0		1.0								2.0	78.0								9.0	5.0	4.0				1.0				10.0	6.0	7.0	2.0	15.0	4.0	58.0	38.0	151.0							393.0
13	aborder	2.0	2.0			5.0	11.0	39.0	40.0	10.0	2.0	12.0	58.0	12.0	7.0	9.0	2.0	10.0	45.0	1568.0						1.0	47.0	41.0	28.0	30.0		12.0	2.0	3.0		11.0	46.0	117.0	46.0	61.0	73.0	349.0	23.0	142.0	94.0	622.0							3582.0
14	aboucher																			1.0																										1.0							2.0
15	abouler												3.0							6.0								34.0	223.0									1.0		3.0		28.0											298.0
16	aboutir					5.0	6.0	8.0		4.0	4.0	18.0	79.0	1.0	1.0	1.0		8.0	19.0	439.0									1.0	24.0	1.0		1.0		6.0	28.0	2.0	5.0	2.0	2.0	80.0	221.0	9.0	19.0	15.0	418.0		5.0				35.0	1467.0
17	aboyer						5.0		4.0	1.0	5.0	4.0	17.0		12.0		3.0	33.0	111.0	554.0							1.0	13.0	73.0	39.0		2.0				4.0	4.0	28.0	16.0	74.0	211.0	731.0			2.0	131.0							2078.0
18	abraser						1.0													2.0																								5.0		3.0							11.0
19	abreuver								4.0			1.0	9.0	1.0	1.0	1.0	1.0		11.0	92.0						1.0	1.0	10.0	23.0	13.0		1.0		1.0	1.0		1.0	4.0		5.0	18.0	48.0		6.0	16.0	27.0							297.0
20	abricoter																											1.0																									1.0
21	abriter						5.0	8.0	4.0	1.0	1.0	1.0	39.0	3.0	6.0	4.0	3.0	17.0	105.0	567.0							32.0	170.0	58.0	64.0		2.0	2.0		1.0	16.0	14.0	25.0	47.0	19.0	98.0	407.0	6.0	21.0	22.0	89.0							1857.0
22	abroger								3.0			2.0	4.0			2.0			1.0	44.0								4.0		4.0						1.0		3.0	2.0	1.0	3.0	11.0	1.0	20.0	3.0	28.0							137.0
23	abrutir								1.0						1.0	1.0		1.0	7.0	63.0								3.0	12.0	4.0								3.0	3.0	4.0	12.0	61.0	5.0	39.0	71.0	398.0				1.0			690.0
24	abréger						1.0		6.0	2.0			5.0	1.0		1.0	1.0		2.0	342.0							41.0	76.0	173.0	2.0		1.0				4.0	1.0	45.0	5.0	5.0	9.0	51.0	5.0	19.0	3.0	75.0						1.0	877.0
25	absenter					1.0		1.0	12.0	2.0	5.0	1.0	7.0	1.0	6.0	2.0	5.0	3.0	37.0	673.0								2.0	7.0	2.0		1.0		3.0		5.0	4.0	260.0	19.0	32.0	14.0	133.0	3.0	115.0	17.0	253.0						1.0	1627.0
26	absorber					2.0	5.0	3.0	7.0	4.0	1.0	4.0	36.0		6.0	3.0	1.0	11.0	33.0	680.0							2.0	14.0	28.0	42.0				1.0	5.0	10.0	7.0	47.0	18.0	20.0	166.0	436.0	38.0	179.0	83.0	622.0					1.0		2515.0
27	absoudre								3.0	1.0	2.0	1.0	11.0						1.0	117.0								8.0	4.0				1.0			2.0		93.0	2.0	7.0	1.0	44.0	1.0	9.0	16.0	56.0		3.0		1.0		12.0	396.0
28	abstenir		2.0			1.0	2.0	3.0	46.0	10.0	3.0	6.0	9.0		3.0	9.0	2.0	2.0	3.0	509.0							3.0	45.0	76.0	8.0		17.0		1.0	1.0	2.0	3.0	56.0	44.0	9.0	24.0	42.0	1.0	16.0	13.0	49.0		7.0		12.0		10.0	1049.0
29	abstraire																			4.0																						4.0	10.0	8.0	12.0	83.0							121.0
30	abuser						4.0	10.0	22.0	6.0	5.0	9.0	18.0	3.0	17.0	14.0	5.0	18.0	150.0	1155.0							29.0	118.0	136.0	42.0	1.0	7.0	3.0	2.0	2.0	15.0	12.0	407.0	150.0	242.0	161.0	434.0	27.0	135.0	72.0	1496.0			1.0	1.0			4929.0
31	abâtardir												1.0																	2.0												2.0				3.0							8.0
32	abêtir																			3.0																	1.0	2.0			1.0				2.0								9.0
33	abîmer						1.0		12.0	5.0	5.0	9.0	37.0		3.0	8.0	2.0	7.0	15.0	872.0							8.0	84.0	103.0	7.0		3.0	3.0	5.0	7.0	26.0		49.0	64.0	99.0	71.0	265.0	174.0	452.0	226.0	1050.0						1.0	3673.0
34	accabler					1.0	5.0		6.0	1.0		7.0	7.0		1.0	2.0		10.0	18.0	218.0							1.0	28.0	23.0	24.0		1.0			2.0	5.0	1.0	31.0	16.0	6.0	60.0	127.0	7.0	103.0	55.0	200.0							966.0
35	accaparer						2.0		1.0	1.0	1.0		4.0				2.0	2.0	9.0	186.0							2.0	3.0	7.0	7.0					1.0	1.0		21.0	11.0	14.0	41.0	84.0	2.0	34.0	13.0	107.0							556.0
36	accentuer						2.0		2.0			3.0	4.0					1.0	9.0	147.0							2.0	11.0	14.0	17.0		1.0				5.0	1.0	4.0	3.0	13.0	25.0	91.0	4.0	16.0	4.0	46.0							425.0
37	accepter	1.0	15.0			15.0	198.0	102.0	949.0	298.0	214.0	418.0	1394.0	44.0	244.0	408.0	114.0	96.0	386.0	16140.0						1.0	96.0	1857.0	1675.0	391.0	19.0	461.0	630.0	376.0	158.0	616.0	647.0	5049.0	2022.0	1964.0	1140.0	4877.0	559.0	1375.0	351.0	12349.0		3.0	3.0	5.0		5.0	57665.0
38	accessoiriser																			25.0																		2.0		4.0	1.0	2.0	1.0	3.0		1.0							39.0
39	accidenter																		1.0	5.0									2.0										1.0	2.0	1.0	1.0	6.0	36.0	6.0	56.0							117.0
