	lemme	case	nb	graphie
49	abandonner	ii3P	2	abandonnaient-abandonné
50	abandonner	ii3S	2	abandonnait-abandonné
53	abandonner	pI2P	2	abandonner-abandonnez
63	abandonner	pi2P	2	abandonner-abandonnez
112	abattre	pi2P	2	abattez-abattre
254	aborder	ii3P	2	abordaient-abordé
332	aboyer	pi2P	2	aboyer-aboyez
499	absorber	ii3P	2	absorbaient-absorbé
531	absoudre	pi2P	2	absolvez-absoudre
594	abuser	ii3P	2	abusaient-abusé
595	abuser	ii3S	2	abusait-abusé
608	abuser	pi2P	2	abuser-abusez
664	accabler	ii3P	2	accablaient-accablé
690	accaparer	ii3S	2	accaparait-accaparé
720	accentuer	pi2P	2	accentuer-accentuez
742	accepter	ii3P	3	acceptaient-accepté-acceptées
743	accepter	ii3S	2	acceptait-accepté
747	accepter	pI2P	2	accepter-acceptez
757	accepter	pi2P	2	accepter-acceptez
923	accomplir	ii3S	2	accomplir-accomplissait
965	accorder	ii3S	2	accordait-accordé
976	accorder	pi1P	2	accordes-accordons
981	accorder	pi3S	2	accorde-accordé
1085	accoupler	pi2P	2	accoupler-accouplez
1163	accrocher	ii3P	2	accrochaient-accrochés
1167	accrocher	pI2P	2	accrocher-accrochez
1177	accrocher	pi2P	2	accrocher-accrochez
1350	accuser	ii3P	2	accusaient-accusé
1355	accuser	pI2P	2	accuser-accusez
1364	accuser	pi1S	2	accuse-accusé
1365	accuser	pi2P	2	accuser-accusez
1520	acheter	ii3P	2	achetaient-acheté
1521	acheter	ii3S	5	achetait-acheter-acheté-achetées-achetés
1525	acheter	pI2P	2	acheter-achetez
1535	acheter	pi2P	2	acheter-achetez
1573	achever	pi2P	2	achever-achevez
1592	acoquiner	ii3S	2	acoquinait-acoquiné
1797	adapter	pI2P	2	adapter-adaptez
1806	adapter	pi2P	2	adapter-adaptez
1923	admettre	pi2P	2	admettez-admettre
2019	adonner	ii3P	2	adonnaient-adonné
2020	adonner	ii3S	2	adonnait-adonné
2049	adopter	ii3P	2	adoptaient-adopté
2085	adorer	ii3P	2	adoraient-adoré
2100	adorer	pi2P	2	adorer-adorez
2198	adresser	pi2P	2	adresser-adressez
2219	aduler	pi2P	2	aduler-adulez
2383	affecter	ii3P	2	affectaient-affecté
2395	affecter	pi2P	2	affecter-affectez
2512	affirmer	ii3P	2	affirmaient-affirmé
2516	affirmer	pI2P	2	affirmer-affirmez
2525	affirmer	pi2P	2	affirmer-affirmez
2728	agacer	ii3S	2	agacé-agaçait
2737	agacer	pi2P	2	agacer-agacez
2783	agenouiller	pi2P	2	agenouilles-agenouillez
2905	agiter	pi2P	2	agiter-agitez
3007	agresser	ii3P	2	agressaient-agressé
3008	agresser	ii3S	3	agressait-agresser-agressé
3017	agresser	pi2P	2	agresser-agressez
3133	aider	ii3P	3	aidaient-aidé-aidés
3134	aider	ii3S	4	aidait-aidé-aidée-aidés
3145	aider	pi1P	2	aides-aidons
3155	aider	ps1P	2	aides-aidions
3196	aiguillonner	ii3S	2	aiguillonnait-aiguillonné
3272	aimer	ii3P	3	aimaient-aimé-aimée
3273	aimer	ii3S	3	aimait-aimé-aimée
3274	aimer	inf	2	aimer-aimes
3282	aimer	pc2P	2	aimerais-aimeriez
3288	aimer	pi2P	2	aimes-aimez
3347	ajouter	ii3P	3	ajoutaient-ajouté-ajoutés
3348	ajouter	ii3S	2	ajoutait-ajouté
3426	alarmer	pi2P	2	alarmer-alarmez
3469	alerter	pi2P	2	alerter-alertez
3488	aligner	ii3P	2	alignaient-alignée
3499	aligner	pi2P	2	aligner-alignez
3518	alimenter	ii3P	2	alimentaient-alimentés
3599	aller	ii3P	4	allaient-allé-allée-allés
3600	aller	ii3S	4	allait-allé-allée-allés
3601	aller	inf	5	aller-allez-allons-vais-vas
3608	aller	pI2S	2	va-vas
3719	allumer	ii3P	2	allumaient-allumé
3720	allumer	ii3S	2	allumait-allumé
3732	allumer	pi2P	2	allumer-allumez
3840	alterner	pi2P	2	alterner-alternez
3852	altérer	ii3P	2	altéraient-altéré
4033	amener	ii3P	2	amenaient-amené
4034	amener	ii3S	3	amenait-amené-amenés
4046	amener	pi1P	2	amenons-amènes
4320	amuser	ii3S	2	amusait-amusés
4360	améliorer	ii3P	2	amélioraient-amélioré
4361	améliorer	ii3S	2	améliorait-amélioré
4374	améliorer	pi2P	2	améliorer-améliorez
4611	annihiler	pi2P	2	annihiler-annihilez
4634	annoncer	ii3P	2	annoncé-annonçaient
4635	annoncer	ii3S	2	annoncé-annonçait
4648	annoncer	pi2P	2	annoncer-annoncez
4688	annuler	ii3P	2	annulaient-annulé
4689	annuler	ii3S	3	annulait-annuler-annulée
4848	apaiser	pi2P	2	apaiser-apaisez
4926	apitoyer	pi2P	2	apitoyer-apitoyez
5148	appeler	ii3P	4	appelaient-appelé-appelée-appelés
5149	appeler	ii3S	3	appelait-appelé-appelée
5161	appeler	pi1P	3	appellent-appelles-appelons
5163	appeler	pi2P	2	appelez-appelles
5243	appliquer	ii3P	2	appliquaient-appliqué
5256	appliquer	pi2P	2	appliquer-appliquez
5290	apporter	ii3P	4	apportaient-apporté-apportée-apportés
5291	apporter	ii3S	2	apportait-apporté
5295	apporter	pI2S	2	apporte-apporté
5302	apporter	pi1P	2	apportes-apportons
5359	apprendre	pI2P	2	apprendre-apprenez
5369	apprendre	pi2P	2	apprendre-apprenez
5421	approcher	ii3P	2	approchaient-approché
5422	approcher	ii3S	2	approchait-approché
5489	approprier	pi2P	2	approprier-appropriez
5572	apprécier	ii3P	2	appréciaient-apprécié
5587	apprécier	pi2P	2	apprécier-appréciez
5673	appuyer	ii3P	2	appuyaient-appuyé
5686	appuyer	pi2P	2	appuyer-appuyez
5703	appâter	ii3P	2	appâtaient-appâtés
5893	armer	pi2P	2	armer-armez
5928	arnaquer	pi2P	2	arnaquer-arnaquez
6001	arracher	ii3P	2	arrachaient-arraché
6046	arranger	ii3S	2	arrangeait-arrangé
6105	arriver	ii3P	3	arrivaient-arrivé-arrivés
6106	arriver	ii3S	3	arrivait-arrivé-arrivés
6111	arriver	pI2S	2	arrive-arrivé
6119	arriver	pi1S	2	arrive-arrivé
6225	arrêter	ii3P	2	arrêtaient-arrêté
6226	arrêter	ii3S	4	arrêtait-arrêté-arrêtées-arrêtés
6294	asperger	ii3S	2	aspergeait-aspergés
6297	asperger	pI2P	2	asperger-aspergez
6323	asphyxier	ii3S	2	asphyxiait-asphyxié
6350	aspirer	ii3S	3	aspirait-aspirer-aspiré
6452	assassiner	ii3P	2	assassinaient-assassiné
6457	assassiner	pI2S	2	assassine-assassiné
6521	asseoir	fi1P	2	assiérons-assoirons
6522	asseoir	fi1S	2	assiérai-assoirai
6523	asseoir	fi2P	2	assiérez-assoirez
6524	asseoir	fi2S	2	assiéras-assoiras
6525	asseoir	fi3P	2	assiéront-assoiront
6526	asseoir	fi3S	2	assiéra-assoira
6528	asseoir	ii1S	2	asseyais-assoyais
6529	asseoir	ii2P	2	asseyiez-assoyiez
6530	asseoir	ii2S	2	asseyais-assoyais
6531	asseoir	ii3P	2	asseyaient-assoyaient
6532	asseoir	ii3S	2	asseyait-assoyait
6537	asseoir	pI1P	2	asseyons-assoyons
6538	asseoir	pI2P	2	asseyez-assoyez
6539	asseoir	pI2S	2	assieds-assois
6540	asseoir	pc1P	2	assiérions-assoirions
6541	asseoir	pc1S	2	assiérais-assoirais
6542	asseoir	pc2P	2	assiériez-assoiriez
6543	asseoir	pc2S	2	assiérais-assoirais
6544	asseoir	pc3P	2	assiéraient-assoiraient
6545	asseoir	pc3S	2	assiérait-assoirait
6547	asseoir	pi1S	2	assieds-assois
6548	asseoir	pi2P	2	asseyez-assoyez
6549	asseoir	pi2S	2	assieds-assois
6550	asseoir	pi3P	2	asseyent-assoient
6551	asseoir	pi3S	2	assied-assoit
6556	asseoir	ps1S	2	asseye-assoie
6557	asseoir	ps2S	2	asseyes-assoies
6558	asseoir	ps3S	2	asseye-assoie
6604	assigner	ii3P	2	assignaient-assigné
