	graphie	lemme	cat	infover	genre	nombre	occurrences	rangFW	rangFWV	case
162	revoir	revoir	VER				60918.0	545.0	163.0	
232	plaît	plaire	VER				42211.0	721.0	233.0	
1489	faîtes	faîte	VER	imp:pre:2p;ind:pre:2p;par:pas;	m	p	4347.0	4205.5	1489.5	
1564	monte	monte	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	f	s	4086.0	4404.5	1564.5	
2123	partons	parton	VER	imp:pre:1p;ind:pre:1p;	m	p	2779.0	5870.0	2123.5	
2750	préférerais	préférer	VER				1943.0	7541.5	2751.0	
3979	porter	porter	VER		m	s	1135.0	10786.0	3981.0	
4573	entraîner	entraîner	VER				927.0	12336.0	4574.0	
5017	tueraient	tuer	VER				809.0	13414.0	5017.0	
5167	débarrasser	débarrasser	VER				773.0	13776.0	5167.5	
5260	reconnaître	reconnaître	VER				751.0	14016.5	5260.5	
5702	va	aller	VER				655.0	15190.5	5702.5	
5822	ri	rire	VER		m	s	637.0	15491.5	5822.0	
5993	coûte	coûter	VER				609.0	15918.0	5995.0	
6392	apparaît	apparaître	VER				547.0	16963.5	6398.0	
6515	kiffe	kiffer	VER				532.0	17273.5	6519.0	
6583	casa	caser	VER		f	s	522.0	17448.0	6586.5	
6748	disant	dire	VER		m	s	501.0	17883.5	6754.0	
6782	allie	allier	VER				498.0	17940.5	6782.0	
7539	grimes	grimer	VER		m	p	420.0	19840.5	7539.5	
7738	dis	dire	VER				403.0	20339.5	7738.5	
7861	regarde	regarder	VER				393.0	20646.0	7864.5	
7990	crane	craner	VER		m	s	382.0	20988.0	7997.5	
8371	terra	terrer	VER		f	s	355.0	21917.0	8361.5	
8912	geindre	geindre	VER		m	s	319.0	23307.0	8914.5	
9474	arrête	arrêter	VER				287.0	24727.0	9473.5	
9496	paniqué	paniquer	VER		m	s	285.0	24814.5	9511.5	
9644	monte	monte	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	f	s	279.0	25102.0	9639.0	
10575	avançons	avancer	VER		m	p	238.0	27396.5	10565.5	
10633	exile	exiler	VER				235.0	27570.5	10638.5	
11362	usa	user	VER				209.0	29339.5	11372.0	
11935	attendant	attendre	VER		m	s	191.0	30717.5	11927.5	
12700	kiffes	kiffer	VER				171.0	32517.5	12695.5	
13056	pond	pondre	VER				163.0	33296.5	13037.0	
13328	grimes	grimer	VER				157.0	33936.5	13307.0	
13555	fais	faire	VER				152.0	34504.5	13556.5	
13722	river	river	VER				149.0	34850.5	13710.5	
13730	paniquée	paniquer	VER		f	s	149.0	34850.5	13710.5	
13750	monte	monte	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;			148.0	34970.5	13755.5	
13873	kiffer	kiffer	VER				145.0	35324.0	13889.0	
14207	marquez	marquer	VER				139.0	36095.0	14222.0	
14246	oseraient	oser	VER				139.0	36095.0	14222.0	
14284	allons	aller	VER				138.0	36232.0	14275.0	
14753	devine	deviner	VER				130.0	37374.5	14745.5	
14824	met	mettre	VER				129.0	37511.0	14808.0	
14953	flippé	flipper	VER		m	s	127.0	37803.0	14925.0	
14955	rendez	rendre	VER				127.0	37803.0	14925.0	
15021	avéré	avérer	VER		m	s	125.0	38073.0	15030.5	
15031	lace	lacer	VER				125.0	38073.0	15030.5	
15040	unit	unir	VER				125.0	38073.0	15030.5	
15412	éclosent	éclore	VER				119.0	39039.5	15432.5	
15430	accélérant	accélérer	VER		m	s	119.0	39039.5	15432.5	
16708	aime	aimer	VER				102.0	41979.0	16700.0	
17062	appelle	appeler	VER				98.0	42749.0	17039.5	
17356	tais	taire	VER				95.0	43381.0	17316.0	
17575	bouboule	boubouler	VER				92.0	44078.5	17624.0	
17750	mette	mettre	VER				91.0	44299.5	17719.5	
17782	donnez	donner	VER				90.0	44529.0	17816.0	
18008	laissez	laisser	VER				88.0	45008.0	18030.0	
18079	moisie	moisir	VER		f	s	87.0	45227.0	18130.0	
18286	veux	vouloir	VER				86.0	45463.0	18234.5	
18480	lancerons	lancer	VER		m	p	84.0	45932.5	18452.0	
18562	rider	rider	VER				83.0	46185.0	18565.0	
18597	chu	choir	VER				83.0	46185.0	18565.0	
18630	survenant	survenir	VER		m	s	82.0	46448.5	18674.0	
18640	bitter	bitter	VER		m	s	82.0	46448.5	18674.0	
18767	japonnais	japonner	VER				81.0	46704.5	18781.5	
18854	computer	computer	VER		m	s	80.0	46953.0	18888.0	
18892	accroupi	accroupir	VER		m	s	80.0	46953.0	18888.0	
18919	viens	venir	VER				80.0	46953.0	18888.0	
19045	bridger	bridger	VER				79.0	47204.5	18996.0	
19056	doubler	doubler	VER		m	s	78.0	47475.5	19109.5	
19123	mange	manger	VER				78.0	47475.5	19109.5	
19602	kiffent	kiffer	VER				74.0	48619.0	19629.0	
19702	force	forcer	VER	imp:pre:3		s	74.0	48619.0	19629.0	pI3S
20187	jase	jaser	VER				70.0	49844.5	20177.5	
20259	prends	prendre	VER				69.0	50179.5	20335.5	
20535	rejoignez	rejoindre	VER				68.0	50517.0	20494.5	
20888	paniqués	paniquer	VER		m	p	65.0	51530.5	20965.0	
20905	imagine	imaginer	VER				65.0	51530.5	20965.0	
21155	viola	violer	VER				64.0	51905.0	21143.0	
21163	parle	parler	VER				64.0	51905.0	21143.0	
21185	have	haver	VER				64.0	51905.0	21143.0	
21513	peux	pouvoir	VER				62.0	52626.0	21472.0	
21819	contra	contrer	VER		m	s	60.0	53386.5	21804.0	
21880	baisser	baisser	VER		m	s	60.0	53386.5	21804.0	
21941	dois	devoir	VER				59.0	53770.5	21974.0	
21945	regardez	regarder	VER				59.0	53770.5	21974.0	
22002	sis	seoir	VER		m		59.0	53770.5	21974.0	
22208	venez	venir	VER				58.0	54169.0	22150.0	
22504	chante	chanter	VER				56.0	55000.5	22511.5	
22719	contras	contrer	VER		m	p	55.0	55427.0	22711.0	
22816	officia	officier	VER				54.0	55870.5	22912.0	
23179	flippé	flipper	VER		m	s	53.0	56303.0	23109.5	
